Cage,Strain,AnimalName,Parameter,Width,Length,Sex
R05065,Athymic Nude,39203,Right,18.12870652,22.66088315,F
R05065,Athymic Nude,39203,Left,26.08294462,32.60368077,F
R05066,Athymic Nude,39206,Right,6.833008122,8.541260153,F
R05066,Athymic Nude,39206,Left,34.80818869,43.51023586,F
R05066,Athymic Nude,39208,Left,22.63161506,28.28951882,F
R05066,Athymic Nude,39208,Right,26.15090821,32.68863526,F
R05067,Athymic Nude,39210,Right,6.717886572,8.397358216,F
R05067,Athymic Nude,39210,Left,9.836666102,12.29583263,F
R05067,Athymic Nude,39214,Left,22.79363946,28.49204933,F
R05067,Athymic Nude,39214,Right,38.00934096,47.5116762,F
R05186,NOG,39298,Left,0,0,F
R05186,NOG,39298,Right,39.30686963,49.13358704,F
R05186,NOG,39299,Left,0,0,F
R05186,NOG,39299,Right,0,0,F
R05214,NOG,41225,Right,30.07058363,37.58822954,F
R05214,NOG,41225,Left,33.94849039,42.43561299,F
R05214,NOG,41226,Right,10.05534684,12.56918355,F
R05214,NOG,41226,Left,25.02758478,31.28448098,F
R05807,Athymic Nude,41380,Right,10.49333122,13.11666402,F
R05807,Athymic Nude,41380,Left,14.730241,18.41280125,F
R05807,Athymic Nude,41383,Left,25.03777147,31.29721433,F
R05807,Athymic Nude,41383,Right,48.99204017,61.24005021,F
R05815,NOG,43012,Left,0,0,F
R05815,NOG,43012,Right,0,0,F
R05815,NOG,43013,Right,8.853247992,11.06655999,F
R05815,NOG,43013,Left,11.41621654,14.27027067,F
R05815,NOG,43014,Left,0,0,F
R05815,NOG,43014,Right,0,0,F
R05815,NOG,43015,Left,0,0,F
R05815,NOG,43015,Right,9.433981132,11.79247642,F
R05815,NOG,43016,Left,0,0,F
R05815,NOG,43016,Right,0,0,F
R05816,NOG,43017,Left,5.212485012,6.515606265,F
R05816,NOG,43017,Right,29.69865317,37.12331646,F
R05816,NOG,43018,Right,16.73917561,20.92396951,F
R05816,NOG,43018,Left,31.27842707,39.09803384,F
R05816,NOG,43019,Left,5.335728629,6.669660786,F
R05816,NOG,43019,Right,6.744627492,8.430784364,F
R05816,NOG,43020,Left,6.61135387,8.264192338,M
R05816,NOG,43020,Right,25.17041915,31.46302393,M
R05816,NOG,43021,Left,20.13082214,25.16352767,M
R05816,NOG,43021,Right,20.98070542,26.22588178,M
R05819,NOG,43032,Left,0,0,M
R05819,NOG,43032,Right,14.66356028,18.32945035,M
R05819,NOG,43033,Left,0,0,M
R05819,NOG,43033,Right,0,0,F
R05819,NOG,43034,Left,0,0,F
R05819,NOG,43034,Right,0,0,M
R05819,NOG,43035,Left,0,0,M
R05819,NOG,43035,Right,0,0,F
R05820,NOG,43037,Left,0,0,F
R05820,NOG,43037,Right,0,0,F
R05820,NOG,43038,Left,0,0,F
R05820,NOG,43038,Right,0,0,F
R05820,NOG,43039,Left,0,0,M
R05820,NOG,43039,Right,0,0,M
R05820,NOG,43040,Left,0,0,M
